Origin_airport,Destination_airport,Origin_city,Origin_State,Destination_city,Destination_State,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
EWR,ATL,Newark,NJ,Atlanta,GA,898,1330,19,745,01/08/2009,19069796,5475213,40.69250107,-74.16870117,33.63669968,-84.42810059
FLL,TPA,Fort Lauderdale,FL,Tampa,FL,10374,13630,94,197,01/07/2008,5501752,2730007,26.07259941,-80.15270233,27.97550011,-82.53320313
ALB,ORD,Albany,NY,Chicago,IL,3171,4180,95,723,01/09/2003,839741,18572324,42.74829865,-73.80169678,41.97859955,-87.90480042
MHT,DTW,Manchester,NH,Detroit,MI,444,500,10,609,01/12/2009,405906,8806874,42.93259811,-71.43569946,42.21239853,-83.35340118
HNL,DFW,Honolulu,HI,Dallas,TX,11684,12843,59,3784,01/04/2006,903467,11998822,21.31870079,-157.9219971,32.89680099,-97.03800201
ATL,TPA,Atlanta,GA,Tampa,FL,8669,17312,155,406,01/02/1998,3872031,2254405,33.63669968,-84.42810059,27.97550011,-82.53320313
ATL,DAL,Atlanta,GA,Dallas,TX,3747,5650,113,721,01/06/2001,4432950,10709246,33.63669968,-84.42810059,32.8470993,-96.85179901
STL,DTW,St. Louis,MO,Detroit,MI,148,244,2,440,01/05/2005,2773155,8988796,38.74869919,-90.37000275,42.21239853,-83.35340118
MOB,ATL,Mobile,AL,Atlanta,GA,4618,7685,53,302,01/11/1994,395838,3444861,30.69120026,-88.24279785,33.63669968,-84.42810059
ORD,TPA,Chicago,IL,Tampa,FL,11489,12784,94,1012,01/05/2006,18797710,2684639,41.97859955,-87.90480042,27.97550011,-82.53320313
DTW,MDW,Detroit,MI,Chicago,IL,16650,20687,151,229,01/07/1994,8761684,17018756,42.21239853,-83.35340118,41.7859993,-87.75240326
LIT,DFW,Little Rock,AR,Dallas,TX,100,136,4,304,01/02/1999,584736,9703564,34.72940063,-92.22429657,32.89680099,-97.03800201
DFW,DAY,Dallas,TX,Dayton,OH,3703,5394,62,861,01/12/2001,10709246,846089,32.89680099,-97.03800201,39.90240097,-84.2193985
CMH,ORD,Columbus,OH,Chicago,IL,1575,2943,27,296,01/01/1993,1469313,16876600,39.9980011,-82.89189911,41.97859955,-87.90480042
MSY,ORD,New Orleans,LA,Chicago,IL,2276,3120,26,837,01/02/2005,1313460,18724160,29.99340057,-90.25800323,41.97859955,-87.90480042
MSP,HON,Minneapolis,MN,Huron,SD,8,38,2,249,01/01/2003,3078253,16154,44.88199997,-93.22180176,44.3852005,-98.22850037
MKE,BOS,Milwaukee,WI,Boston,MA,2910,3900,26,860,01/07/1992,1453354,8227058,42.94720078,-87.89659882,42.36429977,-71.00520325
EWR,MIA,Newark,NJ,Miami,FL,14592,16918,90,1086,01/03/2008,18968501,11003504,40.69250107,-74.16870117,25.79319954,-80.29060364
PHX,ORD,Phoenix,AZ,Chicago,IL,6388,7316,59,1440,01/11/2000,3278661,18235464,33.43429947,-112.012001,41.97859955,-87.90480042
PBI,ORD,West Palm Beach,FL,Chicago,IL,3772,4284,34,1144,01/03/1995,4456964,17155070,26.68320084,-80.09559631,41.97859955,-87.90480042
IND,DFW,Indianapolis,IN,Dallas,TX,0,0,3,762,01/07/2003,1600165,11164066,39.7173,-86.294403,32.89680099,-97.03800201
MIA,MIA,Miami,FL,Miami,FL,0,0,1,0,01/10/2009,11094102,11094102,25.79319954,-80.29060364,25.79319954,-80.29060364
OKC,DFW,Oklahoma City,OK,Dallas,TX,10174,13871,143,175,01/01/1997,1045454,9231044,35.39310074,-97.60070038,32.89680099,-97.03800201
JAX,TPA,Jacksonville,FL,Tampa,FL,29,107,1,180,01/05/1997,1050238,2225002,30.49410057,-81.68789673,27.97550011,-82.53320313
SNA,ABI,Santa Ana,CA,Abilene,TX,107,142,1,1058,01/09/2004,12764590,158571,33.67570114,-117.8679962,32.41130066,-99.68190002
SEA,BZN,Seattle,WA,Bozeman,MT,3092,4270,61,543,01/05/2003,6277876,74723,47.44900131,-122.3089981,45.77750015,-111.1529999
DHN,ATL,Dothan,AL,Atlanta,GA,2488,5148,78,171,01/02/2007,139762,5267527,31.32130051,-85.44960022,33.63669968,-84.42810059
HOU,DFW,Houston,TX,Dallas,TX,2209,3740,91,247,01/12/2004,5190444,11379964,29.64539909,-95.27890015,32.89680099,-97.03800201
GGG,TYR,Longview,TX,Tyler,TX,18,34,1,40,01/10/2001,194657,177511,32.38399887,-94.71150208,32.35409927,-95.40239716
IND,TPA,Indianapolis,IN,Tampa,FL,3658,7124,52,838,01/07/2008,1720796,2730007,39.7173,-86.294403,27.97550011,-82.53320313
ROC,EWR,Rochester,NY,Newark,NJ,1376,2750,25,246,01/03/1993,1025489,17013259,43.1189003,-77.67240143,40.69250107,-74.16870117
MHT,BOS,Manchester,NH,Boston,MA,1222,2489,131,45,01/05/1992,339012,8227058,42.93259811,-71.43569946,42.36429977,-71.00520325
PNS,ATL,Pensacola,FL,Atlanta,GA,9784,16312,118,272,01/10/1993,363513,3339551,30.47340012,-87.18659973,33.63669968,-84.42810059
DCA,ALB,Washington,DC,Albany,NY,3007,5720,52,318,01/05/1990,8270942,811232,38.8521,-77.037697,42.74829865,-73.80169678
IAH,ORD,Houston,TX,Chicago,IL,205,276,2,925,01/12/2005,5299567,18724160,29.9843998,-95.34140015,41.97859955,-87.90480042
JFK,ORD,New York,NY,Chicago,IL,982,3600,9,740,01/08/1992,33861848,16720340,40.63980103,-73.77890015,41.97859955,-87.90480042
PHL,DFW,Philadelphia,PA,Dallas,TX,1426,2204,29,1302,01/03/2009,11936504,12895230,39.87189865,-75.2410965,32.89680099,-97.03800201
MSP,DFW,Minneapolis,MN,Dallas,TX,47,78,1,852,01/07/1991,2581103,8182938,44.88199997,-93.22180176,32.89680099,-97.03800201
IAH,ORD,Houston,TX,Chicago,IL,100,166,2,925,01/02/1990,3789490,16395048,29.9843998,-95.34140015,41.97859955,-87.90480042
PHL,DTW,Philadelphia,PA,Detroit,MI,5695,6750,54,453,01/07/2007,11825356,8913164,39.87189865,-75.2410965,42.21239853,-83.35340118
LAS,BOS,Las Vegas,NV,Boston,MA,5006,5655,31,2381,01/08/1998,1161259,8506878,36.08010101,-115.1520004,42.36429977,-71.00520325
MEM,ATL,Memphis,TN,Atlanta,GA,0,0,1,332,01/08/2003,1238075,4673146,35.04240036,-89.97669983,33.63669968,-84.42810059
IAH,DFW,Houston,TX,Dallas,TX,0,0,16,224,01/10/2005,5299567,11632814,29.9843998,-95.34140015,32.89680099,-97.03800201
SLC,ORD,Salt Lake City,UT,Chicago,IL,6074,9408,64,1249,01/09/1992,811613,16720340,40.78839874,-111.9779968,41.97859955,-87.90480042
ILE,ACT,Killeen,TX,Waco,TX,75,506,11,45,01/01/1995,307544,198780,31.1171,-97.7278,31.61129951,-97.23049927
CVG,TUL,Cincinnati,OH,Tulsa,OK,902,1240,31,646,01/12/2003,2066256,876919,39.04880142,-84.6678009,36.19839859,-95.88809967
MCO,OMA,Orlando,FL,Omaha,NE,1108,2898,23,1210,01/09/1995,1389986,717557,28.42939949,-81.30899811,41.30319977,-95.89409637
FLL,DTW,Fort Lauderdale,FL,Detroit,MI,6730,7400,50,1127,01/03/2007,5465183,8913164,26.07259941,-80.15270233,42.21239853,-83.35340118
MEM,DTW,Memphis,TN,Detroit,MI,574,620,5,610,01/04/2003,1238075,8985512,35.04240036,-89.97669983,42.21239853,-83.35340118
MIA,MDW,Miami,FL,Chicago,IL,71,346,2,1182,01/04/2007,10930366,18903872,25.79319954,-80.29060364,41.7859993,-87.75240326
EKA,ACV,Eureka,CA,Eureka,CA,0,0,1,12,01/05/2007,128564,128564,40.80339813,-124.112999,40.97809982,-124.1090012
LBB,DAL,Lubbock,TX,Dallas,TX,5428,8905,65,293,01/04/2005,262771,11632814,33.66360092,-101.822998,32.8470993,-96.85179901
AUS,ELP,Austin,TX,El Paso,TX,313,488,4,526,01/08/1990,850619,595965,30.19449997,-97.66989899,31.80719948,-106.3779984
BMI,DTW,Bloomington,IL,Detroit,MI,397,578,17,314,01/03/1998,143366,8944948,40.47710037,-88.91590118,42.21239853,-83.35340118
CLT,MIA,Charlotte,NC,Miami,FL,5201,6570,45,651,01/08/1990,1029829,8149380,35.2140007,-80.94309998,25.79319954,-80.29060364
PIT,DFW,Pittsburgh,PA,Dallas,TX,93,141,1,1068,01/03/1994,2471125,8613622,40.49150085,-80.23290253,32.89680099,-97.03800201
LAS,EWR,Las Vegas,NV,Newark,NJ,39,190,1,2227,01/02/2003,1572924,18671320,36.08010101,-115.1520004,40.69250107,-74.16870117
MEM,BOS,Memphis,TN,Boston,MA,60,100,1,1139,01/10/1997,1145788,8460622,35.04240036,-89.97669983,42.36429977,-71.00520325
LAX,DTW,Los Angeles,CA,Detroit,MI,10017,11460,60,1979,01/11/1998,23895178,8944948,33.94250107,-118.4079971,42.21239853,-83.35340118
BUF,ORD,Buffalo,NY,Chicago,IL,1779,2697,31,473,01/07/2001,1163528,18385002,42.94049835,-78.73220062,41.97859955,-87.90480042
LGA,TPA,New York,NY,Tampa,FL,2673,4380,30,1011,01/01/1995,34261384,2175213,40.77719879,-73.87259674,27.97550011,-82.53320313
JAN,DFW,Jackson,MS,Dallas,TX,78,150,1,408,01/07/1992,455271,8314270,32.31119919,-90.07589722,32.89680099,-97.03800201
BNA,EWR,Nashville,TN,Newark,NJ,416,896,7,748,01/06/1996,1185691,17190036,36.12450027,-86.67819977,40.69250107,-74.16870117
ILN,DFW,Wilmington,OH,Dallas,TX,0,0,1,865,01/02/2003,41441,11164066,39.42789841,-83.792099,32.89680099,-97.03800201
DTW,TPA,Detroit,MI,Tampa,FL,2969,3108,21,983,01/03/2008,8847562,2730007,42.21239853,-83.35340118,27.97550011,-82.53320313
EAR,HYS,Kearney,NE,Hays,KS,0,19,1,131,01/07/2006,51052,27228,40.6995,-99.0815,38.84220123,-99.27320099
LAX,BOS,Los Angeles,CA,Boston,MA,3013,3450,25,2611,01/10/2005,25522350,8917782,33.94250107,-118.4079971,42.36429977,-71.00520325
LAX,EWR,Los Angeles,CA,Newark,NJ,959,985,6,2454,01/08/2001,25051472,18490029,33.94250107,-118.4079971,40.69250107,-74.16870117
JFK,ORD,New York,NY,Chicago,IL,1,97,1,740,01/12/1992,33861848,16720340,40.63980103,-73.77890015,41.97859955,-87.90480042
MIA,DTW,Miami,FL,Detroit,MI,4366,5624,38,1145,01/12/2006,10933486,8969084,25.79319954,-80.29060364,42.21239853,-83.35340118
CLT,MIA,Charlotte,NC,Miami,FL,8189,10010,55,651,01/11/1996,1164160,9086872,35.2140007,-80.94309998,25.79319954,-80.29060364
MCO,ORD,Orlando,FL,Chicago,IL,6514,8050,58,1005,01/02/1999,1535004,17655010,28.42939949,-81.30899811,41.97859955,-87.90480042
MSP,ATL,Minneapolis,MN,Atlanta,GA,1447,1625,13,906,01/12/2006,3167666,5119641,44.88199997,-93.22180176,33.63669968,-84.42810059
BIL,BZN,Billings,MT,Bozeman,MT,1335,2900,29,126,01/06/1990,121592,50759,45.80770111,-108.5429993,45.77750015,-111.1529999
ORD,BOS,Chicago,IL,Boston,MA,13961,18382,101,867,01/07/2004,18664180,8912958,41.97859955,-87.90480042,42.36429977,-71.00520325
YIP,BOS,Detroit,MI,Boston,MA,0,0,1,641,01/05/2007,8913164,9007842,42.23789978,-83.53040314,42.36429977,-71.00520325
ALB,OMA,Albany,NY,Omaha,NE,130,137,1,1138,01/07/2002,833752,782384,42.74829865,-73.80169678,41.30319977,-95.89409637
PHX,AUS,Phoenix,AZ,Austin,TX,569,732,6,868,01/10/1991,2302011,874516,33.43429947,-112.012001,30.19449997,-97.66989899
PIT,ORD,Pittsburgh,PA,Chicago,IL,162,396,6,412,01/02/2008,2355391,19031272,40.49150085,-80.23290253,41.97859955,-87.90480042
PHL,EWR,Philadelphia,PA,Newark,NJ,106,136,1,81,01/07/2005,11701242,18798114,39.87189865,-75.2410965,40.69250107,-74.16870117
TOL,ORD,Toledo,OH,Chicago,IL,1220,1607,35,214,01/11/1995,651403,17155070,41.58679962,-83.80780029,41.97859955,-87.90480042
GFK,EKO,Grand Forks,ND,Elko,NV,120,124,1,1041,01/02/1999,95461,47319,47.949299,-97.176102,40.82490158,-115.7919998
LBB,ABI,Lubbock,TX,Abilene,TX,0,130,1,151,01/10/2004,261093,158571,33.66360092,-101.822998,32.41130066,-99.68190002
CLT,BOS,Charlotte,NC,Boston,MA,5536,7798,61,727,01/10/1995,1135592,8357434,35.2140007,-80.94309998,42.36429977,-71.00520325
MKE,DFW,Milwaukee,WI,Dallas,TX,2922,4764,57,853,01/03/2002,1521102,10953156,42.94720078,-87.89659882,32.89680099,-97.03800201
BNA,DTW,Nashville,TN,Detroit,MI,2007,2420,22,457,01/03/2005,1450538,8988796,36.12450027,-86.67819977,42.21239853,-83.35340118
LGA,BUF,New York,NY,Buffalo,NY,2413,5665,55,292,01/11/1992,33861848,1191586,40.77719879,-73.87259674,42.94049835,-78.73220062
CMH,ORD,Columbus,OH,Chicago,IL,1880,2592,24,296,01/03/1999,1562409,17655010,39.9980011,-82.89189911,41.97859955,-87.90480042
ROA,DTW,Roanoke,VA,Detroit,MI,277,612,18,382,01/08/1999,277903,8962394,37.32550049,-79.97540283,42.21239853,-83.35340118
CLE,ERI,Cleveland,OH,Erie,PA,635,960,32,98,01/03/1999,2117837,276993,41.4117012,-81.84980011,42.08312701,-80.17386675
BOS,ALB,Boston,MA,Albany,NY,0,122,1,145,01/02/2009,9177360,857592,42.36429977,-71.00520325,42.74829865,-73.80169678
SFO,ORD,San Francisco,CA,Chicago,IL,141,150,1,1846,01/04/1991,7498756,16550288,37.61899948,-122.375,41.97859955,-87.90480042
CMH,ORD,Columbus,OH,Chicago,IL,1082,1188,18,296,01/05/2009,1801848,19161134,39.9980011,-82.89189911,41.97859955,-87.90480042
DFW,ORD,Dallas,TX,Chicago,IL,0,0,2,802,01/02/2003,11164066,18572324,32.89680099,-97.03800201,41.97859955,-87.90480042
DCA,MDW,Washington,DC,Chicago,IL,53,143,1,601,01/07/2008,10755872,19031272,38.8521,-77.037697,41.7859993,-87.75240326
MAF,AUS,Midland,TX,Austin,TX,1716,5490,45,290,01/02/2002,116953,1353176,31.94249916,-102.2020035,30.19449997,-97.66989899
CWA,OMA,Wausau,WI,Omaha,NE,49,50,1,396,01/10/2009,131612,849517,44.77759933,-89.66680145,41.30319977,-95.89409637
GPT,ATL,Gulfport,MS,Atlanta,GA,833,1521,13,352,01/08/2009,238772,5475213,30.40730095,-89.07009888,33.63669968,-84.42810059
PIT,MDW,Pittsburgh,PA,Chicago,IL,61,128,1,402,01/04/1992,2477012,16720340,40.49150085,-80.23290253,41.7859993,-87.75240326
DCA,TPA,Washington,DC,Tampa,FL,3259,4385,31,814,01/10/1995,8757652,2175213,38.8521,-77.037697,27.97550011,-82.53320313
PIT,DTW,Pittsburgh,PA,Detroit,MI,530,1461,12,201,01/07/1995,2460192,8837982,40.49150085,-80.23290253,42.21239853,-83.35340118
IAH,ATL,Houston,TX,Atlanta,GA,800,910,13,689,01/06/2008,5726705,5385586,29.9843998,-95.34140015,33.63669968,-84.42810059
MSP,OMA,Minneapolis,MN,Omaha,NE,4095,7500,60,282,01/12/1999,2872109,748056,44.88199997,-93.22180176,41.30319977,-95.89409637
PIT,ATL,Pittsburgh,PA,Atlanta,GA,0,148,1,526,01/08/2003,2400193,4673146,40.49150085,-80.23290253,33.63669968,-84.42810059
ORD,TOL,Chicago,IL,Toledo,OH,0,0,4,214,01/10/2007,18903872,675351,41.97859955,-87.90480042,41.58679962,-83.80780029
TPA,ATL,Tampa,FL,Atlanta,GA,10185,10792,76,406,01/06/2006,2684639,5119641,27.97550011,-82.53320313,33.63669968,-84.42810059
BTV,ATL,Burlington,VT,Atlanta,GA,2524,3000,60,960,01/07/2007,206155,5267527,44.47190094,-73.15329742,33.63669968,-84.42810059
LGA,DTW,New York,NY,Detroit,MI,452,900,6,501,01/11/1996,34380072,8912962,40.77719879,-73.87259674,42.21239853,-83.35340118
TPA,ATL,Tampa,FL,Atlanta,GA,6507,13413,45,406,01/06/1995,2175213,3548667,27.97550011,-82.53320313,33.63669968,-84.42810059
PVD,BUF,Providence,RI,Buffalo,NY,58,137,1,383,01/12/2004,1616874,1148714,41.73260117,-71.42040253,42.94049835,-78.73220062
DTW,ORD,Detroit,MI,Chicago,IL,3126,3379,31,235,01/08/1997,8934802,17405264,42.21239853,-83.35340118,41.97859955,-87.90480042
TOL,ORD,Toledo,OH,Chicago,IL,3975,5750,115,214,01/08/2006,673647,18797710,41.58679962,-83.80780029,41.97859955,-87.90480042
TYS,DFW,Knoxville,TN,Dallas,TX,33,50,1,772,01/12/2000,617573,10392376,35.81100082,-83.9940033,32.89680099,-97.03800201
PHX,TUS,Phoenix,AZ,Tucson,AZ,35,133,1,110,01/06/2000,3278661,848521,33.43429947,-112.012001,32.11610031,-110.9410019
LGA,ORD,New York,NY,Chicago,IL,5845,9936,72,733,01/04/1998,34683010,17529224,40.77719879,-73.87259674,41.97859955,-87.90480042
TUL,ORD,Tulsa,OK,Chicago,IL,2689,4500,30,585,01/09/1997,819477,17405264,36.19839859,-95.88809967,41.97859955,-87.90480042
MAF,DFW,Midland,TX,Dallas,TX,43,74,2,309,01/09/1999,118490,9703564,31.94249916,-102.2020035,32.89680099,-97.03800201
BUF,EWR,Buffalo,NY,Newark,NJ,146,192,3,282,01/04/1999,1142121,17431724,42.94049835,-78.73220062,40.69250107,-74.16870117
FAR,MOT,Fargo,ND,Minot,ND,0,170,1,228,01/12/2004,183730,64982,46.92070007,-96.81580353,48.25939941,-101.2799988
ORD,ATL,Chicago,IL,Atlanta,GA,3007,3710,53,606,01/11/2008,19031272,5385586,41.97859955,-87.90480042,33.63669968,-84.42810059
ELM,DTW,Elmira,NY,Detroit,MI,3901,5550,111,331,01/10/2008,87902,8847562,42.15990067,-76.89160156,42.21239853,-83.35340118
GSO,ATL,Greensboro,NC,Atlanta,GA,1304,2010,67,306,01/05/1994,568423,3444861,36.09780121,-79.93730164,33.63669968,-84.42810059
CVG,ORD,Cincinnati,OH,Chicago,IL,2041,3103,29,264,01/08/1992,1888933,16720340,39.04880142,-84.6678009,41.97859955,-87.90480042
ROC,ORD,Rochester,NY,Chicago,IL,2670,4818,52,528,01/09/2004,1038019,18664180,43.1189003,-77.67240143,41.97859955,-87.90480042
JFK,ATL,New York,NY,Atlanta,GA,0,0,4,760,01/03/1999,34863448,3988728,40.63980103,-73.77890015,33.63669968,-84.42810059
JFK,BOS,New York,NY,Boston,MA,1261,10400,26,187,01/06/1997,34528632,8460622,40.63980103,-73.77890015,42.36429977,-71.00520325
CHA,ATL,Chattanooga,TN,Atlanta,GA,67,76,1,106,01/02/2009,524303,5475213,35.03530121,-85.20379639,33.63669968,-84.42810059
MSY,DFW,New Orleans,LA,Dallas,TX,4359,4650,31,448,01/08/2001,1311131,10709246,29.99340057,-90.25800323,32.89680099,-97.03800201
TVC,DTW,Traverse City,MI,Detroit,MI,917,1638,21,207,01/02/1998,123663,8944948,44.74140167,-85.5821991,42.21239853,-83.35340118
FLL,ATL,Fort Lauderdale,FL,Atlanta,GA,10234,17808,167,581,01/12/1997,4623697,3756986,26.07259941,-80.15270233,33.63669968,-84.42810059
EWR,DFW,Newark,NJ,Dallas,TX,5579,13172,89,1372,01/05/1991,16874842,8182938,40.69250107,-74.16870117,32.89680099,-97.03800201
LGA,MDW,New York,NY,Chicago,IL,157,500,5,725,01/03/1995,34261384,17155070,40.77719879,-73.87259674,41.7859993,-87.75240326
DAY,DFW,Dayton,OH,Dallas,TX,7301,12368,89,861,01/01/2008,837036,12602170,39.90240097,-84.2193985,32.89680099,-97.03800201
HNL,ITO,Honolulu,HI,Hilo,HI,529,700,2,216,01/11/1990,838032,121458,21.31870079,-157.9219971,19.72139931,-155.0480042
PBI,DTW,West Palm Beach,FL,Detroit,MI,3057,3719,25,1087,01/08/1996,4543436,8912962,26.68320084,-80.09559631,42.21239853,-83.35340118
BHM,TPA,Birmingham,AL,Tampa,FL,488,548,4,460,01/08/2006,1103572,2684639,33.56290054,-86.75350189,27.97550011,-82.53320313
ILN,DAL,Wilmington,OH,Dallas,TX,0,0,34,858,01/09/2004,41798,11379964,39.42789841,-83.792099,32.8470993,-96.85179901
BUF,DTW,Buffalo,NY,Detroit,MI,303,444,3,240,01/06/2008,1124055,8847562,42.94049835,-78.73220062,42.21239853,-83.35340118
CHS,BGR,Charleston,SC,Bangor,ME,0,0,6,1018,01/01/2008,647194,149268,32.89860153,-80.04049683,44.80739975,-68.82810211
ROC,EWR,Rochester,NY,Newark,NJ,5304,8450,169,246,01/07/2006,1031458,18825633,43.1189003,-77.67240143,40.69250107,-74.16870117
SEA,YKM,Seattle,WA,Yakima,WA,3895,7942,105,103,01/09/2008,6713274,234881,47.44900131,-122.3089981,46.56819916,-120.5439987
MIA,DFW,Miami,FL,Dallas,TX,15433,18988,101,1121,01/05/1997,9247394,9231044,25.79319954,-80.29060364,32.89680099,-97.03800201
GSO,ORD,Greensboro,NC,Chicago,IL,1845,3120,26,590,01/05/2002,656811,18490270,36.09780121,-79.93730164,41.97859955,-87.90480042
LAS,TUS,Las Vegas,NV,Tucson,AZ,10591,12193,89,365,01/03/2000,1393370,848521,36.08010101,-115.1520004,32.11610031,-110.9410019
PHX,RNO,Phoenix,AZ,Reno,NV,825,1650,11,601,01/09/2003,3600163,374743,33.43429947,-112.012001,39.49909973,-119.7679977
LAW,DFW,Lawton,OK,Dallas,TX,4096,7718,227,140,01/04/1999,106621,9703564,34.56769943,-98.41660309,32.89680099,-97.03800201
MDT,ORD,Harrisburg,PA,Chicago,IL,189,208,2,594,01/08/2000,509454,18235464,40.19350052,-76.76339722,41.97859955,-87.90480042
ICT,EUG,Wichita,KS,Eugene,OR,0,0,1,1415,01/05/2005,583759,335242,37.64989853,-97.43309784,44.12459946,-123.211998
PDX,TOL,Portland,OR,Toledo,OH,0,0,1,1947,01/08/2007,2163577,675351,45.58869934,-122.5979996,41.58679962,-83.80780029
ATL,ATL,Atlanta,GA,Atlanta,GA,0,0,0,0,01/03/2009,5475213,5475213,33.63669968,-84.42810059,33.63669968,-84.42810059
BKL,BUF,Cleveland,OH,Buffalo,NY,0,68,1,180,01/12/2008,2094051,1124055,41.51750183,-81.6832962,42.94049835,-78.73220062
IAD,AUS,Washington,DC,Austin,TX,1647,2100,30,1297,01/03/2009,10952482,1705075,38.94449997,-77.45580292,30.19449997,-97.66989899
YIP,GYY,Detroit,MI,Gary,IN,0,0,1,205,01/06/1998,8944948,8764612,42.23789978,-83.53040314,41.61629868,-87.41280365
DFW,ATL,Dallas,TX,Atlanta,GA,3211,4321,29,732,01/10/2000,10392376,4281905,32.89680099,-97.03800201,33.63669968,-84.42810059
SJC,BOS,San Jose,CA,Boston,MA,2984,4380,30,2689,01/07/2000,1739669,8805222,37.36259842,-121.9290009,42.36429977,-71.00520325
IND,ORD,Indianapolis,IN,Chicago,IL,7911,13200,88,177,01/08/1990,1299152,16395048,39.7173,-86.294403,41.97859955,-87.90480042
RDU,TPA,Raleigh,NC,Tampa,FL,9003,13500,90,587,01/07/1993,603263,2132804,35.87760162,-78.78749847,27.97550011,-82.53320313
CLT,MOB,Charlotte,NC,Mobile,AL,1056,2850,57,527,01/09/2003,1436890,397707,35.2140007,-80.94309998,30.69120026,-88.24279785
SAT,DAL,San Antonio,TX,Dallas,TX,3696,5490,45,248,01/08/1990,1410627,8019250,29.53370094,-98.46980286,32.8470993,-96.85179901
CLE,DTW,Cleveland,OH,Detroit,MI,2301,3904,32,95,01/09/1990,2103367,8503650,41.4117012,-81.84980011,42.21239853,-83.35340118
DCA,ABI,Washington,DC,Abilene,TX,116,139,1,1345,01/05/1997,8966798,153013,38.8521,-77.037697,32.41130066,-99.68190002
BNA,ATL,Nashville,TN,Atlanta,GA,15636,25575,140,214,01/10/2000,1317580,4281905,36.12450027,-86.67819977,33.63669968,-84.42810059
EAT,YKM,Wenatchee,WA,Yakima,WA,0,0,4,60,01/03/2009,109937,239054,47.39889908,-120.2070007,46.56819916,-120.5439987
MKE,ORD,Milwaukee,WI,Chicago,IL,3049,4100,82,67,01/01/2008,1550451,19031272,42.94720078,-87.89659882,41.97859955,-87.90480042
DFW,ORD,Dallas,TX,Chicago,IL,1602,2548,26,802,01/04/1991,8182938,16550288,32.89680099,-97.03800201,41.97859955,-87.90480042
ORD,EWR,Chicago,IL,Newark,NJ,219,437,2,719,01/11/2003,18572324,18671320,41.97859955,-87.90480042,40.69250107,-74.16870117
BPT,DFW,Beaumont,TX,Dallas,TX,1437,4260,142,270,01/08/1995,374916,8787062,29.95079994,-94.02069855,32.89680099,-97.03800201
MSY,BOS,New Orleans,LA,Boston,MA,25,126,1,1367,01/09/2007,1109415,9007842,29.99340057,-90.25800323,42.36429977,-71.00520325
JAN,ATL,Jackson,MS,Atlanta,GA,1926,5234,29,341,01/02/1996,475127,3652439,32.31119919,-90.07589722,33.63669968,-84.42810059
JFK,BOS,New York,NY,Boston,MA,4378,5698,154,187,01/04/2008,37937002,9089410,40.63980103,-73.77890015,42.36429977,-71.00520325
SFO,DFW,San Francisco,CA,Dallas,TX,10910,12025,62,1464,01/07/1992,7578602,8314270,37.61899948,-122.375,32.89680099,-97.03800201
MSP,DFW,Minneapolis,MN,Dallas,TX,35,148,1,852,01/11/2000,2981616,10392376,44.88199997,-93.22180176,32.89680099,-97.03800201
CMH,ATL,Columbus,OH,Atlanta,GA,2297,4924,49,446,01/09/1990,1410167,3087755,39.9980011,-82.89189911,33.63669968,-84.42810059
BUF,ATL,Buffalo,NY,Atlanta,GA,2397,3809,25,712,01/01/1990,1190154,3087755,42.94049835,-78.73220062,33.63669968,-84.42810059
DCA,EWR,Washington,DC,Newark,NJ,90,496,4,199,01/01/2005,10458534,18798114,38.8521,-77.037697,40.69250107,-74.16870117
EWR,ATL,Newark,NJ,Atlanta,GA,8340,11220,60,745,01/11/1991,16874842,3163883,40.69250107,-74.16870117,33.63669968,-84.42810059
EWR,DTW,Newark,NJ,Detroit,MI,3154,6068,41,487,01/11/2006,18825633,8969084,40.69250107,-74.16870117,42.21239853,-83.35340118
PHX,EWR,Phoenix,AZ,Newark,NJ,12695,15899,102,2133,01/12/2007,4175595,18901167,33.43429947,-112.012001,40.69250107,-74.16870117
OMA,IAH,Omaha,NE,Houston,TX,1522,2268,21,781,01/01/1991,694707,3888584,41.30319977,-95.89409637,29.9843998,-95.34140015
STL,BOS,St. Louis,MO,Boston,MA,9000,18069,66,1046,01/09/1991,2595543,8227986,38.74869919,-90.37000275,42.36429977,-71.00520325
JFK,DFW,New York,NY,Dallas,TX,0,0,8,1391,01/04/1997,34528632,9231044,40.63980103,-73.77890015,32.89680099,-97.03800201
MCO,MIA,Orlando,FL,Miami,FL,170,550,5,193,01/03/1990,1239115,8149380,28.42939949,-81.30899811,25.79319954,-80.29060364
IAH,RNO,Houston,TX,Reno,NV,2515,2945,19,1530,01/02/2005,5299567,394881,29.9843998,-95.34140015,39.49909973,-119.7679977
SFO,CIC,San Francisco,CA,Chico,CA,2108,3120,104,153,01/11/2006,8325566,216933,37.61899948,-122.375,39.79539871,-121.8580017
BNA,EWR,Nashville,TN,Newark,NJ,4548,6750,135,748,01/09/2009,1582264,19069796,36.12450027,-86.67819977,40.69250107,-74.16870117
PIT,TPA,Pittsburgh,PA,Tampa,FL,10227,12342,85,873,01/10/1996,2447532,2195269,40.49150085,-80.23290253,27.97550011,-82.53320313
SFB,GYY,Orlando,FL,Gary,IN,1234,2384,16,951,01/04/2002,1756852,9245135,28.77759933,-81.23750305,41.61629868,-87.41280365
